DateTime,Nedbør,Højeste,Middel
01-06-23 0:00,0,,
02-06-23 0:00,0,,
03-06-23 0:00,0,,
04-06-23 0:00,0,,
05-06-23 0:00,0,,
06-06-23 0:00,0,,
07-06-23 0:00,0,,
08-06-23 0:00,0,,
09-06-23 0:00,0,,
10-06-23 0:00,0,,
11-06-23 0:00,0,,
12-06-23 0:00,0,,
13-06-23 0:00,0,,
14-06-23 0:00,0,,
15-06-23 0:00,0.3,,
16-06-23 0:00,0,,
17-06-23 0:00,0.5,,
18-06-23 0:00,0,,
19-06-23 0:00,7.1,,
20-06-23 0:00,0,,
21-06-23 0:00,4.3,,
22-06-23 0:00,0,,
23-06-23 0:00,0,,
24-06-23 0:00,0,,
25-06-23 0:00,0,,
26-06-23 0:00,18.2,,
27-06-23 0:00,0,,
28-06-23 0:00,0,,
29-06-23 0:00,1.2,,
30-06-23 0:00,0,,
