DateTime,Maks. snedybde,Højeste,Middel
01-12-23 0:00,,,
01-12-23 7:00,7.9,,
02-12-23 0:00,,,
02-12-23 7:00,6.1,,
03-12-23 0:00,,,
03-12-23 7:00,11,,
04-12-23 0:00,,,
04-12-23 7:00,10,,
05-12-23 0:00,,,
05-12-23 7:00,9.1,,
06-12-23 0:00,,,
06-12-23 7:00,12,,
07-12-23 0:00,,,
07-12-23 7:00,16,,
08-12-23 0:00,,,
08-12-23 7:00,13,,
09-12-23 0:00,,,
09-12-23 7:00,12,,
10-12-23 0:00,,,
10-12-23 7:00,3,,
11-12-23 0:00,,,
11-12-23 7:00,0.6,,
12-12-23 0:00,,,
12-12-23 7:00,0.4,,
13-12-23 0:00,,,
13-12-23 7:00,0.1,,
14-12-23 0:00,,,
14-12-23 7:00,0.1,,
15-12-23 0:00,,,
15-12-23 7:00,0,,
16-12-23 0:00,,,
16-12-23 7:00,0,,
17-12-23 0:00,,,
17-12-23 7:00,0,,
18-12-23 0:00,,,
18-12-23 7:00,0,,
19-12-23 0:00,,,
19-12-23 7:00,0,,
20-12-23 0:00,,,
20-12-23 7:00,0,,
21-12-23 0:00,,,
21-12-23 7:00,0,,
22-12-23 0:00,,,
22-12-23 7:00,0,,
23-12-23 0:00,,,
23-12-23 7:00,0.3,,
24-12-23 0:00,,,
24-12-23 7:00,0.1,,
25-12-23 0:00,,,
25-12-23 7:00,0,,
26-12-23 0:00,,,
26-12-23 7:00,0.1,,
27-12-23 0:00,,,
27-12-23 7:00,0,,
28-12-23 0:00,,,
28-12-23 7:00,0.2,,
29-12-23 0:00,,,
29-12-23 7:00,0,,
30-12-23 0:00,,,
30-12-23 7:00,0,,
31-12-23 0:00,,,
31-12-23 7:00,0,,
